model,common_threshold,tp,tn,fp,fn,n,accuracy,precision,recall,specificity,fpr,f1,f1_direct,auc,alert_rate,prevalence
Baseline majority class,,0,17830,0,1261,19091,0.9339479335812687,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.06605206641873133
Logistic Regression,0.094,553,14473,3357,708,19091,0.7870724425121786,0.14143222506393863,0.43854084060269627,0.8117218171620864,0.18827818283791362,0.21388512860181785,0.21388512860181783,0.7018961350991807,0.20480854853072128,0.06605206641873133
Random Forest,0.094,241,17057,773,1020,19091,0.9060813996123828,0.23767258382642997,0.19111816019032513,0.9566461020751542,0.043353897924845765,0.21186813186813186,0.21186813186813186,0.6872840595579981,0.053114032790320044,0.06605206641873133
