model,common_threshold,selected_demo_model,selection_dataset,coarse_best_threshold,candidate_count,tp,tn,fp,fn,n,accuracy,precision,recall,specificity,fpr,f1,f1_direct,auc,alert_rate,prevalence
Logistic Regression,0.094,Logistic Regression,validation,0.1,110,458,11692,2586,589,15325,0.7928221859706363,0.1504599211563732,0.437440305635148,0.8188821963860484,0.18111780361395152,0.22390613541921292,0.2239061354192129,0.6958512993387037,0.19862969004893963,0.06831973898858075
Random Forest,0.094,Logistic Regression,validation,0.1,110,192,13772,506,855,15325,0.9111908646003263,0.27507163323782235,0.1833810888252149,0.9645608628659477,0.03543913713405239,0.2200573065902579,0.22005730659025788,0.6845017608457954,0.04554649265905383,0.06831973898858075
