tap_du_lieu,model,threshold,tp,tn,fp,fn,n,accuracy,precision,recall,specificity,fpr,f1,f1_direct,auc,alert_rate,prevalence
validation,Logistic Regression,0.09,483,11431,2847,564,15325,0.7774225122349103,0.14504504504504503,0.46131805157593125,0.800602325255638,0.19939767474436196,0.22069910897875256,0.22069910897875258,0.6958512993387037,0.2172920065252855,0.06831973898858075
validation,Random Forest,0.09,261,13436,842,786,15325,0.893768352365416,0.23662737987307345,0.2492836676217765,0.9410281552038101,0.05897184479618994,0.24279069767441863,0.2427906976744186,0.6845017608457954,0.07197389885807504,0.06831973898858075
validation,Logistic Regression,0.094,458,11692,2586,589,15325,0.7928221859706363,0.1504599211563732,0.437440305635148,0.8188821963860484,0.18111780361395152,0.22390613541921292,0.2239061354192129,0.6958512993387037,0.19862969004893963,0.06831973898858075
validation,Random Forest,0.094,192,13772,506,855,15325,0.9111908646003263,0.27507163323782235,0.1833810888252149,0.9645608628659477,0.03543913713405239,0.2200573065902579,0.22005730659025788,0.6845017608457954,0.04554649265905383,0.06831973898858075
validation,Logistic Regression,0.1,420,12008,2270,627,15325,0.8109624796084829,0.15613382899628253,0.40114613180515757,0.8410141476397255,0.15898585236027454,0.2247792346802248,0.2247792346802248,0.6958512993387037,0.17553017944535074,0.06831973898858075
validation,Random Forest,0.1,122,14010,268,925,15325,0.9221533442088091,0.3128205128205128,0.11652340019102196,0.9812298641266284,0.018770135873371622,0.1697981906750174,0.1697981906750174,0.6845017608457954,0.025448613376835235,0.06831973898858075
