alias,order_id,feature_index,transformed_feature_name,feature_value,coefficient,contribution,sum_contributions,intercept,z_manual,probability_manual,probability_spark,absolute_difference
A,f46b842d9b4dfd29acf5eec998837ede,0,item_count_filled,1.0,-0.07281597013180564,-0.07281597013180564,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,1,product_count_filled,1.0,-0.24362428603741526,-0.24362428603741526,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,2,seller_count_filled,1.0,-0.8792444875416756,-0.8792444875416756,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,3,total_price_filled,122.99,-5.094028284054563e-05,-0.006265145386558707,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,4,total_freight_filled,17.05,0.0002663690733722605,0.004541592700997041,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,5,average_item_price_filled,122.99,0.0003734099167293281,0.04592568565854006,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,6,total_weight_g_filled,700.0,1.1962538929378245e-05,0.008373777250564771,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,7,total_volume_cm3_filled,5700.0,1.2205708204268208e-06,0.0069572536764328785,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,8,freight_ratio_filled,0.1386,-0.029071253413406172,-0.004029275723098096,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,9,purchase_year_filled,2018.0,0.18165138806580747,366.57250111679946,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,10,purchase_month_filled,7.0,-0.03705781372399258,-0.2594046960679481,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,11,purchase_day_of_week_filled,5.0,0.012784271227794557,0.06392135613897279,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,12,purchase_hour_filled,22.0,0.005718761662951632,0.1258127565849359,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,13,estimated_delivery_days_filled,21.0,-0.04923113821824474,-1.0338539025831397,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,32,customer_state_ohe_PI,1.0,0.7964059696512064,0.7964059696512064,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,53,main_seller_state_ohe_MA,1.0,1.1476019106146522,1.1476019106146522,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
A,f46b842d9b4dfd29acf5eec998837ede,67,main_category_ohe_health_beauty,1.0,-0.003854087909034211,-0.003854087909034211,366.2689495676951,-366.6827995874858,-0.4138500197907433,0.39798931891486933,0.39798931891486933,0.0
B,686c0ba20be3837a5041edbc39d3f9ae,0,item_count_filled,1.0,-0.07281597013180564,-0.07281597013180564,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,1,product_count_filled,1.0,-0.24362428603741526,-0.24362428603741526,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,2,seller_count_filled,1.0,-0.8792444875416756,-0.8792444875416756,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,3,total_price_filled,114.0,-5.094028284054563e-05,-0.005807192243822202,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,4,total_freight_filled,21.25,0.0002663690733722605,0.005660342809160535,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,5,average_item_price_filled,114.0,0.0003734099167293281,0.0425687305071434,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,6,total_weight_g_filled,350.0,1.1962538929378245e-05,0.0041868886252823855,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,7,total_volume_cm3_filled,2040.0,1.2205708204268208e-06,0.0024899644736707145,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,8,freight_ratio_filled,0.1864,-0.029071253413406172,-0.0054188816362589105,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,9,purchase_year_filled,2017.0,0.18165138806580747,366.39084972873366,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,10,purchase_month_filled,3.0,-0.03705781372399258,-0.11117344117197775,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,11,purchase_day_of_week_filled,1.0,0.012784271227794557,0.012784271227794557,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,12,purchase_hour_filled,20.0,0.005718761662951632,0.11437523325903265,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,13,estimated_delivery_days_filled,30.0,-0.04923113821824474,-1.4769341465473422,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,29,customer_state_ohe_MA,1.0,1.1577666353520508,1.1577666353520508,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,64,main_seller_state_ohe_AM,1.0,2.781113975249289,2.781113975249289,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
B,686c0ba20be3837a5041edbc39d3f9ae,73,main_category_ohe_telephony,1.0,0.009121944271153311,0.009121944271153311,367.7258993091979,-366.6827995874858,1.0430997217121103,0.7394476565195346,0.7394476565195455,1.0880185641326534e-14
C,9b1d71b20edcf15ab15e0bb4a932f23f,0,item_count_filled,1.0,-0.07281597013180564,-0.07281597013180564,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,1,product_count_filled,1.0,-0.24362428603741526,-0.24362428603741526,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,2,seller_count_filled,1.0,-0.8792444875416756,-0.8792444875416756,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,3,total_price_filled,79.0,-5.094028284054563e-05,-0.004024282344403105,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,4,total_freight_filled,16.31,0.0002663690733722605,0.0043444795867015685,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,5,average_item_price_filled,79.0,0.0003734099167293281,0.02949938342161692,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,6,total_weight_g_filled,675.0,1.1962538929378245e-05,0.008074713777330315,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,7,total_volume_cm3_filled,3168.0,1.2205708204268208e-06,0.0038667683591121684,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,8,freight_ratio_filled,0.2065,-0.029071253413406172,-0.006003213829868374,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,9,purchase_year_filled,2017.0,0.18165138806580747,366.39084972873366,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,10,purchase_month_filled,9.0,-0.03705781372399258,-0.33352032351593325,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,11,purchase_day_of_week_filled,1.0,0.012784271227794557,0.012784271227794557,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,12,purchase_hour_filled,9.0,0.005718761662951632,0.05146885496656469,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,13,estimated_delivery_days_filled,19.0,-0.04923113821824474,-0.9353916261466501,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,22,customer_state_ohe_DF,1.0,-0.2765665461519764,-0.2765665461519764,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,43,main_seller_state_ohe_SP,1.0,0.20380612322855396,0.20380612322855396,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
C,9b1d71b20edcf15ab15e0bb4a932f23f,97,main_category_ohe_audio,1.0,0.4635011957442255,0.4635011957442255,364.4170047833458,-366.6827995874858,-2.2657948041400005,0.09399571801023537,0.0939957180102402,4.829470157119431e-15
D,c2bb89b5c1dd978d507284be78a04cb2,0,item_count_filled,2.0,-0.07281597013180564,-0.1456319402636113,357.84314635846124,-366.6827995874858,-8.839653229024577,0.0001448519905773873,0.00014485199057734377,4.3530717225293e-17
